bottype,robots_skirts[cm],frames_No,kissing_time
aligner,6.46,13.098737461180104,0.5239494984472043
aligner,9.78,12.625748445518935,0.5050299378207574
aligner,11.44,24.20940391862712,0.9683761567450848
aligner,13.1,31.80895351641616,1.2723581406566462
aligner,19.6,32.23514224576022,1.2894056898304092
aligner,23.0,220.83981374139344,8.833592549655737
fronter,6.46,7.834219807996198,0.31336879231984793
fronter,9.78,17.070404002555346,0.6828161601022139
fronter,11.44,51.91772866228404,2.076709146491362
fronter,13.1,160.83300204079555,6.433320081631822
fronter,19.6,8310.804998349331,332.43219993397327
fronter,23.0,8512.553745302679,340.5021498121072
