,bot,diameter [cm],power law,power law Err
0,fronter,7.0,1.0603990242588348,0.0437601877582402
1,fronter,12.0,1.3190225777785454,0.02087331247921609
2,fronter,18.0,1.521531962810364,0.020524187050381837
3,fronter,28.0,1.526882789151049,0.0354905770458086
4,fronter,32.0,1.6423932242978712,0.06392923478734902
5,aligner,7.0,1.0853805735671815,0.03237174308271018
6,aligner,12.0,1.1001644822888554,0.01946700940332513
7,aligner,18.0,1.1793314845977503,0.02262761238483757
8,aligner,28.0,1.3488838093476778,0.0011138727587202135
9,aligner,32.0,1.1946571009501015,0.0353840249129449
