,BotNum,BotType,n_max,n_max_err,A_max,A_max_err,n_min,n_min_err,A_min,A_min_err
0,1,fronter,1.761371331995166,0.0019363845075989412,0.0037357817528477543,0.006070393602054653,1.7877270304347732,0.0020877777176180994,0.003366216732215531,0.005088417983837275
0,1,aligner,1.4891777287346772,0.0027685440140376334,0.00482827620206731,0.008679139792193421,1.6470730359596026,0.0013322441865375359,0.0033901818562561583,0.0032470004861584146
0,4,fronter,1.7707585633588698,0.0011003303825016606,0.01441439841103255,0.003449438093874435,1.836116248896146,0.0005360311096317108,0.01242438301285263,0.0013056027008403657
0,4,aligner,1.6704806905169065,0.0007227634012180488,0.007191998376531713,0.002265799113535027,1.7152074620703481,0.00029416736751772016,0.0064459633715458105,0.0007169568457909566
0,8,fronter,1.7211531504730475,0.0014038143119279134,0.01269795925099293,0.004400833288668681,1.7937175739220355,0.0007797911831636375,0.010845496523657794,0.0018993253480161008
0,8,aligner,1.5553174234497176,0.001241975530330039,0.012576841919671983,0.0038934830283672817,1.593939274686968,0.001114228840564292,0.011206501543148915,0.0027156444922010877
0,16,fronter,1.7946323026658322,0.0010891807051784835,0.02955228184467518,0.003414484847704959,1.8472363327757275,0.0005821907820067504,0.026380260466989124,0.0014189393950541683
0,16,aligner,1.5376939316631397,0.0018430671617931992,0.01905718261356835,0.005777851994259135,1.6248891492568553,0.0014513100716155424,0.01590038600230443,0.0035371927749682265
0,21,fronter,1.7004972913983,0.0013048211963832498,0.038827725628051105,0.0040904986241556305,1.7645924424943742,0.000995039456808976,0.033949370534913696,0.0024251512009079556
0,21,aligner,1.5440106189279748,0.0021524521105501246,0.022543883334594835,0.006747746378517273,1.6326252057904793,0.0016956384775583641,0.01886413173173954,0.004132680049556324
0,53,fronter,1.6846286812859779,0.001635206556911965,0.06651575389136476,0.005126227452006081,1.7386129709375533,0.0019523431682099007,0.06040864750114676,0.004758331301644326
0,53,aligner,1.569509394497419,0.0008590877922877892,0.01796009739128785,0.0026931639862905164,1.6025261134801303,0.0010407666727784105,0.016894520542464066,0.0025365994570628624
